id,name,comment,rating,review_date,es_confidence
266,Eda Apple,"it sucks, the floor is slippery so you need to put a mat under you. it’s super dark and in the squat rack area the only light is a tiny green slip light on the ceiling. there is no ankle cuffs or straps to do legs on the extension equipment",2,Hace un año,0.0
267,Angelo Seleri,academia com muitos recursos e equipamentos. o ambiente escuro é um pouco diferente de academias tradicionais.,4,Hace 10 meses,0.917212188243866
268,Fr3scher,very nice,5,Hace 2 años,0.0
270,Amadou 1,awesome.,4,Hace 4 años,0.0
271,Eusebiu Ciprian,ciprian,5,Hace 5 años,0.0
